Ciudad,Zona,Direccion,Tamano,Nº de baños,Nº de habitaciones,Precio de venta,Fecha de creacion,Publicado por
Asturias,Fugit,Rambla de Olimpia Saenz 51,268,3,4,182325626,2021-01-31,Andres Lopez
Castellón,Magnam,Camino de Eusebio Perales 14,247,1,5,838818015,2024-07-13,Maria Gonzalez
La Rioja,Repellat,Paseo de Griselda Andrade 43,148,1,1,55477303,2023-02-11,Carolina Castro Jaramillo
Santa Cruz de Tenerife,Officia,Acceso de Maria Mercader 26 Puerta 0 ,147,2,6,789593271,2020-09-01,Sofia Morales
Toledo,Numquam,Urbanizacion Esteban Losada 360 Apt. 00 ,297,4,6,136130763,2023-10-18,Andres Lopez
Tarragona,Possimus,Pasadizo Marta Garrido 285,130,4,2,274232122,2022-03-28,Laura Martinez
Albacete,Similique,Vial Emelina Arnaiz 797 Apt. 16 ,151,1,1,870263234,2023-06-17,Carolina Castro Jaramillo
Santa Cruz de Tenerife,Placeat,Pasaje de Ana Sofia Carlos 65 Apt. 06 ,71,2,6,49013476,2024-01-09,Andres Lopez
Barcelona,Aperiam,Camino de Abilio Exposito 14 Apt. 00 ,237,1,1,893624526,2021-12-19,Ana Torres
Teruel,Tempore,Pasaje de Leocadia Clavero 97,109,3,5,160162189,2022-07-27,Carolina Castro Jaramillo
La Rioja,Incidunt,Via de Efrain Guitart 60 Piso 4 ,156,4,4,91432377,2023-04-02,Juan Perez
Valencia,Pariatur,Plaza Obdulia Canas 88,227,2,3,134046780,2022-07-06,Carolina Castro Jaramillo
Murcia,Vitae,Pasadizo de Maxi Nunez 1 Puerta 5 ,260,4,1,440202666,2022-07-16,Carolina Castro Jaramillo
Tarragona,Sequi,Vial Albano Giner 58,236,2,3,485432793,2022-03-06,Maria Gonzalez
Albacete,Dolorem,Cuesta Flora Zabala 57,222,1,6,423523035,2024-02-25,Pedro Ramirez
Ceuta,Ad,Urbanizacion de Jose Angel Pacheco 98,85,2,2,581854308,2021-11-09,Sofia Morales
Cádiz,Corrupti,Pasaje de Trinidad Cano 713,166,2,5,792800842,2021-05-27,Carlos Rodriguez
Ávila,Ducimus,Camino Mireia Llopis 27,126,1,1,170478460,2020-10-11,Luis Fernandez
Cádiz,Velit,Pasaje de Lucas Frias 82 Puerta 1 ,103,2,4,84001245,2022-04-25,Carolina Castro Jaramillo
Cáceres,Tempore,Cuesta de Aurelia Carvajal 31 Apt. 04 ,259,4,4,226464383,2024-01-18,Andres Lopez
Málaga,Quis,Plaza de Jose Ignacio Alberola 98 Puerta 4 ,102,3,5,328465028,2020-10-10,Carolina Castro Jaramillo
Las Palmas,Deleniti,Calle Miguel Nicolau 35,137,2,4,458908240,2022-07-18,Laura Martinez
Granada,Eos,Plaza Maria Cristina Gallardo 63 Apt. 72 ,217,1,4,431611723,2020-05-28,Juan Perez
La Rioja,Soluta,C. Francisco Cal 54 Puerta 3 ,99,4,5,410558278,2023-07-22,Carolina Castro Jaramillo
Cádiz,Quod,Calle Nazaret Albero 8 Apt. 07 ,104,3,2,374742465,2025-03-23,Carlos Rodriguez
Cuenca,Suscipit,Camino Julia Alcaraz 992 Apt. 11 ,220,1,6,839024965,2021-12-01,Andres Lopez
La Coruña,Occaecati,Rambla Vicente Diez 51 Piso 3 ,275,2,3,355016422,2025-05-05,Sofia Morales
Baleares,Eveniet,Camino de Arturo Benet 96 Piso 6 ,151,2,6,843770597,2022-03-21,Ana Torres
Toledo,Ea,Calle Cruz Ayala 264,80,1,3,272302798,2021-07-15,Carolina Castro Jaramillo
Palencia,Repudiandae,Ronda Flora Pont 67,94,3,3,634644327,2023-11-01,Carlos Rodriguez
Burgos,Rerum,Vial Jimena Izaguirre 5 Apt. 81 ,185,1,6,83747605,2022-12-20,Luis Fernandez
Álava,Reprehenderit,Acceso Sigfrido Carretero 82,94,3,3,540604308,2024-12-06,Pedro Ramirez
Badajoz,Tempore,Plaza de Fortunato Araujo 31,272,1,5,494685081,2021-02-09,Ana Torres
Segovia,Fugiat,Vial Gema Larranaga 54,152,2,6,796337845,2022-05-23,Carolina Castro Jaramillo
Murcia,Aperiam,Canada Florentino Abril 2 Piso 6 ,294,2,1,277620676,2023-12-23,Luis Fernandez
La Coruña,Fugiat,Cuesta Dani Miguel 68 Piso 4 ,127,3,2,350491502,2022-09-05,Pedro Ramirez
Las Palmas,Modi,Camino de Rosario Cadenas 56,95,4,2,522152860,2024-03-11,Andres Lopez
Girona,Error,Ronda de Melisa Amoros 98 Apt. 37 ,209,1,6,381966587,2024-12-08,Carolina Castro Jaramillo
Alicante,Odio,Ronda de Chucho Herrero 59 Piso 1 ,203,4,4,400284802,2025-01-21,Luis Fernandez
Segovia,Dicta,Pasaje Flor Girona 894 Apt. 36 ,71,1,1,51335969,2022-11-02,Andres Lopez
Málaga,Ad,Urbanizacion de Reynaldo Buendia 24,102,3,6,387550691,2021-06-13,Maria Gonzalez
Teruel,Facilis,Pasadizo Sofia Huertas 968 Apt. 07 ,300,2,5,789261335,2020-06-05,Juan Perez
Burgos,Quod,Ronda Horacio Barral 389 Apt. 77 ,266,4,6,631124580,2023-04-03,Andres Lopez
Salamanca,Tempora,Plaza de Ruth Nadal 96 Puerta 1 ,90,4,5,425612152,2023-02-22,Carolina Castro Jaramillo
Zamora,Id,Vial de Victorino Ferrando 794,69,2,5,390715810,2023-09-17,Pedro Ramirez
Granada,Aut,Plaza Reyna Iborra 833,300,2,1,810644528,2020-08-17,Carolina Castro Jaramillo
Ourense,Veniam,Via Virginia Ricart 4 Puerta 3 ,81,1,3,272729115,2020-08-22,Laura Martinez
Ávila,Dignissimos,Via de Fatima Echeverria 464,167,3,4,743848595,2022-09-22,Carolina Castro Jaramillo
Castellón,Blanditiis,Callejon de Mario Castrillo 30,288,1,2,484254044,2024-12-07,Laura Martinez
Baleares,Illo,Plaza Cleto Haro 858 Puerta 3 ,278,3,3,548113024,2023-01-18,Ana Torres
Soria,Suscipit,C. de Dora Badia 5,195,3,3,93279011,2022-12-12,Luis Fernandez
Barcelona,Deleniti,Alameda Delia Torre 15,252,4,4,233177055,2024-05-12,Pedro Ramirez
Álava,Iure,Pasaje Angela Losa 291,87,2,2,310255331,2022-09-03,Carolina Castro Jaramillo
La Coruña,Magni,Avenida Aroa Salas 796 Puerta 3 ,224,2,4,322002069,2022-07-31,Carolina Castro Jaramillo
Cuenca,Repellendus,Avenida de Paco Tolosa 47 Puerta 6 ,52,2,5,358724823,2025-04-26,Sofia Morales
Palencia,Ipsam,Via Leopoldo Parra 70,32,4,4,269233301,2020-11-29,Sofia Morales
Álava,Commodi,Acceso Rosario Campoy 73 Apt. 93 ,280,4,3,255004310,2020-11-04,Laura Martinez
La Coruña,Facilis,Calle Severino Diego 66,79,4,1,191412137,2025-04-25,Carolina Castro Jaramillo
Soria,Accusantium,Pasaje Severino Toledo 90,147,2,4,678774164,2021-08-09,Maria Gonzalez
Álava,Omnis,Calle de Gracia Armengol 307 Piso 3 ,250,2,4,518682064,2022-09-10,Ana Torres
Asturias,Officia,Rambla Juana Pastor 530,66,1,5,199131611,2023-03-03,Carlos Rodriguez
Vizcaya,Natus,Cuesta Guiomar Goicoechea 66,265,2,4,577391415,2023-01-11,Carlos Rodriguez
Cuenca,Nesciunt,Vial Jennifer Hernandez 59,112,1,5,687718803,2024-11-10,Luis Fernandez
La Rioja,Ab,Paseo de Javier Pera 54 Piso 9 ,132,1,5,756662399,2020-09-30,Pedro Ramirez
Teruel,Nobis,Camino de Ismael Batalla 44 Puerta 2 ,212,1,1,880023283,2021-09-04,Carolina Castro Jaramillo
Toledo,Quod,Alameda de Juan Carrasco 82 Puerta 6 ,50,4,2,297578272,2021-01-13,Pedro Ramirez
Barcelona,Amet,Plaza de Matias Julian 693,300,2,5,490986208,2024-03-04,Carolina Castro Jaramillo
Cantabria,Laboriosam,Plaza Imelda Juarez 41,88,2,1,209242165,2022-08-01,Laura Martinez
Las Palmas,Quam,Plaza de Quique Cabezas 7,107,3,3,186901317,2023-11-25,Carolina Castro Jaramillo
León,Impedit,Calle de Graciana Yuste 53,284,2,1,812460265,2023-06-18,Laura Martinez
Granada,Necessitatibus,Calle de Lisandro Arnaiz 28,116,4,3,30396095,2021-07-22,Juan Perez
Melilla,Omnis,Urbanizacion Almudena Valentin 23 Apt. 39 ,112,3,6,761229388,2024-09-10,Juan Perez
Cuenca,Quasi,Plaza Bautista Pozuelo 12 Piso 6 ,64,1,2,123630238,2023-08-16,Maria Gonzalez
Madrid,Debitis,Camino Marcial Segui 60,210,3,1,839169214,2021-07-26,Luis Fernandez
Las Palmas,Totam,Camino Iker Diez 98,97,1,2,446783623,2023-07-31,Sofia Morales
Asturias,Est,Paseo Reyes Riba 2,268,4,3,412024965,2024-05-27,Carolina Castro Jaramillo
Zamora,Ipsum,Acceso de Danilo Alsina 32 Apt. 71 ,211,2,3,856745216,2021-11-15,Carolina Castro Jaramillo
Lugo,Exercitationem,Canada de Chus Figueroa 591,182,4,3,761900298,2021-04-28,Carolina Castro Jaramillo
Girona,Aliquam,Pasaje Salome Rico 3,196,2,5,352945482,2024-08-22,Maria Gonzalez
Albacete,Iusto,Canada de Pili Gascon 274 Piso 7 ,52,1,3,723797939,2020-10-04,Luis Fernandez
Murcia,Laboriosam,Ronda Iris Jurado 995,59,1,1,839584932,2025-03-02,Andres Lopez
Santa Cruz de Tenerife,Perspiciatis,Canada de Arsenio Yanez 69 Puerta 0 ,245,1,4,594924321,2025-04-02,Carolina Castro Jaramillo
Valencia,Quae,Rambla de Gerardo Laguna 81 Puerta 6 ,111,3,1,238410870,2023-10-24,Carlos Rodriguez
Toledo,Quis,Acceso de Chucho Fernandez 9 Apt. 60 ,53,1,3,430073500,2024-09-09,Ana Torres
Córdoba,Vel,Camino de Araceli Cuenca 303 Piso 7 ,252,1,6,858450909,2022-04-03,Carlos Rodriguez
Baleares,Vitae,Vial Zacarias Menendez 45,67,1,2,32739285,2023-09-01,Carolina Castro Jaramillo
León,Cupiditate,Ronda de Ofelia Prats 58,213,3,1,664880433,2022-06-03,Juan Perez
León,Deserunt,Vial de Edelmiro Aguirre 81,55,3,4,413884610,2022-01-02,Maria Gonzalez
Lugo,Placeat,Canada Arcelia Poza 423,143,3,5,564132614,2023-11-21,Carolina Castro Jaramillo
Las Palmas,Inventore,Alameda de Natalio Batlle 60,292,2,5,449968925,2025-03-23,Carolina Castro Jaramillo
Cantabria,Dolorum,Alameda de Heriberto Novoa 73 Puerta 9 ,277,3,5,401058628,2020-06-07,Luis Fernandez
Albacete,Magnam,Pasadizo de Josue Coronado 54,96,3,2,589818950,2023-07-18,Carlos Rodriguez
La Rioja,Ipsum,Vial de Luisina Salom 4,269,1,5,585528757,2021-02-08,Maria Gonzalez
Ceuta,Ipsam,Paseo Eva Maria Borras 7,170,3,6,781395805,2021-01-05,Carolina Castro Jaramillo
Tarragona,Iusto,Glorieta Ivan Anglada 79,236,2,6,225742231,2021-04-14,Maria Gonzalez
Palencia,Doloremque,Canada de Abigail Plana 18,294,4,4,107684449,2024-04-14,Carlos Rodriguez
Málaga,Perspiciatis,Ronda Nilo Baez 517,63,1,2,767519796,2023-01-10,Sofia Morales
Teruel,Itaque,Plaza de Charo Cuenca 918,252,4,4,579515308,2024-08-23,Laura Martinez
Ceuta,Maiores,Alameda Claudia Villaverde 7 Piso 5 ,59,3,1,780845490,2024-02-11,Carlos Rodriguez
Badajoz,Quod,Plaza de Erasmo Enriquez 76 Puerta 9 ,91,4,1,878810752,2022-08-09,Carlos Rodriguez
Pontevedra,Aspernatur,Ronda de Jonatan Pena 92,148,4,3,781985915,2020-05-30,Carolina Castro Jaramillo
Granada,Numquam,Urbanizacion de Ofelia Gutierrez 98 Puerta 3 ,160,3,4,606456757,2024-12-04,Carolina Castro Jaramillo
Badajoz,Quis,Acceso Clotilde Rosales 61,143,4,6,273047471,2022-11-06,Pedro Ramirez
Granada,Minus,Avenida Ruy Mulet 682 Puerta 0 ,43,1,3,354113047,2025-01-28,Sofia Morales
Huelva,Culpa,Via Etelvina Bolanos 66 Puerta 8 ,223,2,5,467367514,2022-11-01,Luis Fernandez
Barcelona,Voluptate,Calle de Edgar Marquez 6 Puerta 7 ,73,3,4,724846165,2022-12-04,Carolina Castro Jaramillo
Alicante,Consectetur,Rambla Mamen Mateo 93 Piso 9 ,257,3,3,410953919,2023-10-02,Sofia Morales
Huesca,Nulla,Plaza Bernardino Gimenez 849 Apt. 99 ,85,1,1,789797900,2024-06-19,Pedro Ramirez
Zaragoza,Similique,Pasadizo Ricarda Becerra 94,160,4,3,276368819,2024-08-31,Carolina Castro Jaramillo
Las Palmas,Eaque,Calle de Faustino Cuenca 65 Apt. 37 ,117,3,1,886076065,2023-05-11,Luis Fernandez
Castellón,Provident,Avenida de Toni Corbacho 34 Puerta 3 ,181,4,1,582182313,2023-02-07,Andres Lopez
Murcia,Asperiores,Paseo de Marisela Aguado 91 Piso 4 ,245,1,5,137715272,2024-11-06,Carlos Rodriguez
Salamanca,Aliquid,Via de Hernan Caparros 20,97,1,1,609048598,2020-06-28,Laura Martinez
Lugo,Quidem,Pasadizo de Miguel Angel Elias 472 Apt. 75 ,185,3,6,519242738,2024-09-14,Maria Gonzalez
Zaragoza,Perferendis,Acceso de Bartolome Leon 61,269,3,1,310683905,2023-03-19,Pedro Ramirez
Jaén,Dolorum,C. de Lucia Crespi 43,174,3,2,469031350,2020-11-15,Luis Fernandez
Huelva,Aspernatur,Calle Jose Peiro 14,96,3,6,460548053,2022-07-29,Maria Gonzalez
Granada,Debitis,Pasadizo de Rosalva Cerro 59 Puerta 2 ,164,3,3,404175876,2021-09-14,Sofia Morales
Lleida,Saepe,Rambla Gisela Barrena 16 Puerta 3 ,284,2,3,876985640,2021-09-28,Carlos Rodriguez
Almería,Vero,C. Lucio Dieguez 793 Apt. 81 ,104,1,6,458452644,2023-08-08,Luis Fernandez
Asturias,Natus,Pasadizo de Fortunata Castilla 29,58,2,5,35588858,2025-01-09,Ana Torres
Segovia,Ducimus,Glorieta Custodia Casares 17 Puerta 3 ,62,2,1,158091593,2021-07-26,Carolina Castro Jaramillo
Toledo,Aliquid,Avenida Ignacia Estevez 4,272,1,6,426647845,2023-06-13,Laura Martinez
La Coruña,Dicta,Plaza de Manuela Espana 61 Apt. 27 ,174,3,4,188192246,2024-02-02,Carolina Castro Jaramillo
Guipúzcoa,Excepturi,Camino de Guadalupe Carrera 13,283,1,1,693644089,2023-07-15,Laura Martinez
Melilla,Architecto,Ronda de Natanael Carreno 288 Puerta 0 ,298,2,2,701113117,2022-05-06,Luis Fernandez
Valencia,Nam,Canada Urbano Arellano 28 Apt. 99 ,297,4,4,664065342,2020-10-27,Laura Martinez
Badajoz,Eaque,Canada Cristina Araujo 7 Piso 0 ,35,2,4,766574646,2020-09-10,Laura Martinez
Guadalajara,Omnis,Camino de Jeronimo Feijoo 52,138,1,5,662216025,2024-04-03,Pedro Ramirez
Zamora,Nostrum,Via Eugenio Bejarano 107,69,3,1,428889835,2024-12-13,Ana Torres
Alicante,Nam,Cuesta Martirio Sanchez 58 Apt. 73 ,95,3,4,505270996,2024-11-28,Juan Perez
Girona,Eos,Camino de Dulce Salvador 47,169,4,1,142271080,2023-10-21,Carolina Castro Jaramillo
Ceuta,Deserunt,Via de Encarnacion Codina 382 Apt. 18 ,36,1,4,766281059,2023-08-28,Ana Torres
Pontevedra,Inventore,Paseo de Baldomero Morata 881 Piso 5 ,122,1,6,42329182,2024-03-02,Carolina Castro Jaramillo
La Rioja,Quaerat,C. de Arcelia Barrera 77,72,2,6,699887282,2020-10-08,Carlos Rodriguez
Barcelona,Excepturi,Camino Melchor Tenorio 28,156,4,3,200352746,2021-05-07,Luis Fernandez
Baleares,Id,Avenida Claudio Somoza 75,53,3,2,644464676,2023-12-12,Carolina Castro Jaramillo
Tarragona,Atque,Urbanizacion Adriana Rosales 282,32,3,2,176818322,2021-05-16,Carlos Rodriguez
La Coruña,Minus,Plaza Trinidad Ariza 584 Piso 1 ,287,3,3,655589010,2023-04-12,Laura Martinez
Segovia,Ratione,Avenida Brunilda Ordonez 4 Puerta 5 ,192,3,6,155933329,2024-06-27,Luis Fernandez
Guadalajara,Maiores,C. de Reyes Torrent 481 Puerta 3 ,40,4,4,712871254,2024-06-05,Maria Gonzalez
Zaragoza,Impedit,Cuesta Agata Rosell 56 Puerta 8 ,142,4,3,518427213,2025-05-13,Laura Martinez
Las Palmas,Exercitationem,Ronda Gerardo Nogues 77,169,1,2,509223612,2021-06-05,Sofia Morales
La Coruña,Architecto,Vial Encarna Arnaiz 180 Piso 3 ,220,1,3,599096530,2022-08-21,Sofia Morales
León,Perferendis,Avenida Natalia Chaves 1 Piso 7 ,131,3,2,444698016,2022-03-29,Carolina Castro Jaramillo
Guadalajara,Perspiciatis,Callejon Tito Linares 79 Piso 7 ,95,3,2,744745841,2022-03-13,Carolina Castro Jaramillo
Teruel,Quod,Alameda Nieves Francisco 760,267,1,6,233899996,2021-10-27,Maria Gonzalez
Lleida,Voluptas,Avenida Jose Luis Soler 54,43,3,1,347538465,2025-02-22,Maria Gonzalez
Granada,Fugiat,Vial Magdalena Calvet 927 Apt. 05 ,125,1,4,863677610,2020-11-17,Pedro Ramirez
Huelva,Culpa,Canada de Domingo Guardia 41 Apt. 27 ,179,2,6,208279529,2023-04-30,Carolina Castro Jaramillo
Granada,Voluptatem,Via de Ascension Mora 28 Apt. 84 ,153,2,6,514351264,2023-02-01,Juan Perez
Jaén,Dolorum,Ronda de Rosalia Soler 16,240,2,4,694485859,2024-02-13,Andres Lopez
León,Deserunt,Plaza Eleuterio Real 980 Puerta 6 ,132,1,2,451452076,2022-08-06,Juan Perez
Pontevedra,Amet,Callejon de Hermenegildo Olmo 8 Puerta 2 ,234,3,4,75051454,2022-04-11,Ana Torres
Zamora,Molestiae,Plaza de Placido Marti 96 Puerta 8 ,123,4,5,883299917,2025-04-01,Andres Lopez
Baleares,Consectetur,Avenida Herminia Espada 47 Apt. 81 ,148,4,3,898200848,2022-07-28,Ana Torres
Ávila,Totam,Pasaje Dorita Moliner 85 Puerta 1 ,157,3,2,868024557,2022-02-09,Carolina Castro Jaramillo
Valladolid,Perferendis,Vial Jeronimo Vall 909,200,1,4,99696777,2022-11-12,Carolina Castro Jaramillo
La Coruña,Repudiandae,Rambla Victor Manuel Carrasco 92,232,2,6,366198272,2021-10-21,Luis Fernandez
Ceuta,Magni,Rambla Salomon Duque 27 Apt. 73 ,76,4,3,416907835,2022-11-20,Maria Gonzalez
Alicante,Est,Plaza de Lara Pelayo 3,140,3,6,792892233,2023-01-29,Maria Gonzalez
Cantabria,Possimus,Callejon de Ramona Elias 55 Puerta 0 ,223,4,2,788364192,2022-09-24,Ana Torres
Álava,Nam,Urbanizacion Cecilio Blasco 8,295,1,3,216222863,2020-09-24,Laura Martinez
Santa Cruz de Tenerife,Sapiente,Glorieta de Lidia Carnero 482 Puerta 0 ,270,2,1,103458873,2020-12-21,Andres Lopez
Valencia,Repudiandae,Urbanizacion Alicia Pujadas 12,36,3,2,867577804,2024-12-12,Juan Perez
La Rioja,Esse,Pasaje Ezequiel Asenjo 294,164,3,4,478189453,2022-10-31,Carolina Castro Jaramillo
Ourense,At,Avenida Dalila Pallares 2,77,3,2,523459959,2024-03-29,Luis Fernandez
Álava,Aperiam,Paseo Adalberto Gimeno 95 Piso 4 ,105,4,1,251645752,2025-02-24,Carolina Castro Jaramillo
Salamanca,Illo,Calle Patricio Cuesta 5 Puerta 8 ,192,1,4,404348667,2025-05-16,Sofia Morales
Granada,Assumenda,Alameda de Eleuterio Rosado 42 Piso 4 ,42,1,5,331616334,2022-12-07,Carlos Rodriguez
Granada,Praesentium,Canada de Carmelo Sales 29 Apt. 02 ,248,3,5,89984749,2022-02-03,Carolina Castro Jaramillo
Valencia,Eos,Glorieta de Jacinta Asenjo 488,134,1,4,59149607,2022-12-18,Carolina Castro Jaramillo
Valladolid,Animi,Pasadizo de Guiomar Moreno 6 Piso 3 ,117,2,4,689423611,2023-08-16,Carolina Castro Jaramillo
Badajoz,Quia,Pasadizo Horacio Berrocal 50 Puerta 2 ,69,2,5,392953756,2024-03-07,Carolina Castro Jaramillo
Lleida,Pariatur,Rambla de Roque Ocana 79,65,1,1,616006818,2022-03-02,Carolina Castro Jaramillo
Málaga,Eveniet,Pasaje Hortensia Viana 25,249,3,1,449249075,2025-01-01,Juan Perez
Cantabria,Recusandae,Pasaje de Julie Mayol 1 Apt. 88 ,55,3,3,137587145,2021-08-26,Carolina Castro Jaramillo
Castellón,Necessitatibus,Via Jorge Colom 93,273,3,1,533947271,2022-06-13,Pedro Ramirez
Las Palmas,Rerum,Ronda de Paz Aramburu 7,299,4,1,440219240,2023-02-01,Carolina Castro Jaramillo
Zaragoza,Beatae,Plaza de Inocencio Agullo 4 Piso 1 ,241,3,1,743788976,2022-06-30,Carolina Castro Jaramillo
Guipúzcoa,Neque,Cuesta de Fulgencio Carrera 89 Piso 0 ,153,1,1,319057087,2023-05-10,Carlos Rodriguez
Teruel,Ut,Glorieta de Aurelio Barranco 46 Piso 2 ,83,1,4,645477656,2024-05-25,Andres Lopez
Cuenca,Aut,Callejon Jose Ramon Menendez 686,195,3,2,201440778,2024-09-15,Sofia Morales
Valencia,Deleniti,Alameda Francisca Monreal 8 Piso 8 ,127,4,2,643365695,2024-11-28,Maria Gonzalez
Navarra,Doloremque,Vial de Nayara Fuente 18,157,3,1,96473398,2022-02-12,Ana Torres
Santa Cruz de Tenerife,Officiis,Rambla Juan Manuel Canals 34 Piso 7 ,225,2,3,417652694,2023-06-09,Luis Fernandez
Barcelona,Repellat,Urbanizacion Consuela Casals 96 Puerta 1 ,195,1,2,93752011,2024-11-01,Luis Fernandez
Baleares,Molestiae,Rambla Evita Almansa 98,33,2,1,44706061,2024-01-18,Ana Torres
Valladolid,Similique,Avenida de Herminio Casanovas 3 Piso 6 ,209,2,4,381069826,2023-05-02,Andres Lopez
Madrid,Asperiores,Plaza de Ale Nogueira 47 Apt. 05 ,57,4,5,171520662,2022-01-25,Maria Gonzalez
Castellón,Totam,Callejon Palmira Murcia 41 Apt. 86 ,234,4,3,204885133,2022-06-16,Luis Fernandez
Huelva,Voluptatem,Callejon de Angelica Pages 493,226,2,4,189180736,2022-03-29,Carolina Castro Jaramillo
Ceuta,Explicabo,Paseo Florentino Canellas 90 Puerta 5 ,44,3,3,788814045,2022-04-09,Luis Fernandez
Valladolid,Vel,Canada Matias Ayala 34 Apt. 85 ,63,1,4,205987905,2023-04-01,Ana Torres
Vizcaya,Fuga,Via de Hernando Pujadas 41,233,1,4,91928299,2024-07-10,Laura Martinez
Vizcaya,Eveniet,Calle de Albina Gisbert 987 Apt. 25 ,147,4,2,674351928,2021-07-26,Carolina Castro Jaramillo
Guadalajara,Qui,Callejon Encarnita Morales 10 Apt. 02 ,181,1,6,592820026,2021-12-13,Carlos Rodriguez
Almería,Officiis,Paseo de Tiburcio Riquelme 99,283,3,4,283458720,2020-11-12,Carlos Rodriguez
Cáceres,Veniam,Via de Juan Jose Duque 746 Apt. 88 ,167,4,3,626335656,2024-12-19,Carolina Castro Jaramillo
León,Dolores,Pasadizo de Serafina Collado 25 Piso 9 ,186,3,4,474527572,2023-03-06,Luis Fernandez
Zaragoza,Veritatis,Pasadizo Luciana Benavent 54,83,4,4,763611890,2022-07-21,Andres Lopez
Madrid,Autem,Cuesta Poncio Rebollo 854 Apt. 37 ,98,1,6,683585483,2021-04-05,Maria Gonzalez
Zaragoza,Animi,Acceso Alfredo Bauza 2 Apt. 84 ,58,2,1,404234935,2023-12-09,Laura Martinez
Cantabria,Rerum,Ronda de Soledad Piquer 91,174,2,3,526232028,2022-06-12,Carlos Rodriguez
Granada,Sequi,C. de Maria Cristina Vina 52,169,4,2,485122892,2024-02-15,Andres Lopez
Las Palmas,Aut,Glorieta de Raquel Tello 34 Piso 0 ,57,2,1,417105436,2021-11-06,Ana Torres
Baleares,Laborum,Pasaje Juan Manuel Collado 6 Apt. 84 ,204,1,3,238347465,2021-07-29,Ana Torres
Álava,Similique,Pasadizo Jimena Reig 443,194,4,2,161718515,2025-05-19,Carolina Castro Jaramillo
Ciudad,Eos,Callejon Imelda Trillo 42,153,4,1,116490691,2022-01-12,Carolina Castro Jaramillo
Albacete,Corporis,C. de Rolando Zaragoza 62 Puerta 7 ,277,4,4,124472571,2023-10-07,Juan Perez
Soria,Dolorum,Camino Fernanda Haro 8,189,3,5,106890461,2022-12-06,Carolina Castro Jaramillo
Ávila,Odio,Alameda Gregorio Alvarez 692,174,2,1,309918318,2021-11-04,Juan Perez
León,Porro,Paseo de Luisina Pina 12 Piso 0 ,284,1,5,434899357,2022-01-08,Laura Martinez
Jaén,Porro,Pasadizo Aurelio Valera 61,84,3,6,281647404,2020-11-14,Sofia Morales
Granada,Eum,Cuesta de Jose Manuel Cornejo 864,213,4,2,295692813,2024-02-09,Ana Torres
Toledo,Earum,Via de Agata Garrido 881,60,4,3,276416526,2022-10-27,Maria Gonzalez
